2025-08-08 18:51:59 | INFO | __main__:main:264 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 20:55:35 | INFO | __main__:main:266 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 20:55:35 | INFO | __main__:main:267 | Mode: underwriting
2025-08-08 20:55:35 | INFO | __main__:main:268 | Environment: development
2025-08-08 20:55:35 | INFO | __main__:run_underwriting_calculations:121 | 🚀 Starting underwriting calculations...
2025-08-08 20:55:35 | INFO | __main__:run_underwriting_calculations:144 | Calculating underwriting for 100 properties
2025-08-08 20:55:35 | ERROR | __main__:run_underwriting_calculations:160 | ❌ Underwriting calculations error: Instance <Property at 0x1590f735d30> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-08-08 20:56:13 | INFO | __main__:main:266 | 🏗️ Real Estate Investment Data Ingestion Pipeline
2025-08-08 20:56:13 | INFO | __main__:main:267 | Mode: underwriting
2025-08-08 20:56:13 | INFO | __main__:main:268 | Environment: development
2025-08-08 20:56:13 | INFO | __main__:run_underwriting_calculations:121 | 🚀 Starting underwriting calculations...
2025-08-08 20:56:13 | INFO | __main__:run_underwriting_calculations:145 | Calculating underwriting for 100 properties
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 1: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 2: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 3: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 4: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 5: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 6: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 7: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 8: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 9: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 10: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 11: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 12: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 13: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 14: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 15: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 16: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 17: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 18: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 19: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 20: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 21: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 22: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 23: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 24: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 25: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 26: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 27: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 28: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 29: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 30: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 31: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 32: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 33: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 34: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 35: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 36: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 37: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 38: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 39: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 40: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 41: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 42: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 43: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 44: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 45: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 46: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 47: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 48: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 49: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 50: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 51: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 52: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | underwriting.calculator:calculate_all_metrics:66 | Error calculating underwriting metrics: Invalid purchase price or rental income
2025-08-08 20:56:13 | ERROR | __main__:run_underwriting_calculations:154 | ❌ Failed to calculate underwriting for property 53: Invalid purchase price or rental income
